area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p08a;p08b;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p231;p232;p233;p24;p25;p251;p26;p27;p28;p29;p30;p31;p32;p33;p34;p341;p35;p351;p36;p37;p38;p381;p39;p40;p41;p42;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p59;p60a;p60b;p60c;p60d;p60e;p60f;p60g;p60h;p60i;p60j;p60k;p61b1;p61c1;p61c2;p61c3;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;p79;p80;p81;p82;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;ingrl;fexp;condact;secemp;empleo;desempleo;grupo1;rama1;ingpc;pobreza;epobreza;nnivins;estrato;upm;id_vivienda;id_hogar;id_persona;periodo
1;90152;000303;005;03;1;03;1;19;3;10;10;6;1;1;1;1; ;7;1; ; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;69,1666666666667;1;0;4;3111;090152000303;09015200030300503;090152000303005031;09015200030300503103;202012
1;90152;000303;005;03;1;04;1;15;3;10;10;6;1;1;1;1; ;5;10;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;69,1666666666667;1;0;3;3111;090152000303;09015200030300503;090152000303005031;09015200030300503104;202012
1;90152;000303;005;03;1;05;1;11;3;10;10; ;1;1;1;1; ;5;6;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;0; ; ; ; ; ;69,1666666666667;1;0;3;3111;090152000303;09015200030300503;090152000303005031;09015200030300503105;202012
1;90152;000303;005;03;1;06;2;5;3;10;10; ;1;1;1;1; ;5;0;2; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;0; ; ; ; ; ;69,1666666666667;1;0;3;3111;090152000303;09015200030300503;090152000303005031;09015200030300503106;202012
1;90152;000303;005;04;1;01;1;46;1;10;10;1;2; ; ; ;5;4;6;1; ; ;6;1; ;2;1; ; ; ; ; ; ;40; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4100;7112;4; ;6;2;2;2;2;2;2;2;2;2;2;2;8;2;1;7;4;3;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ;0;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;3964,73684870123;4;4;1; ;7;6;110,5;0;0;3;3111;090152000303;09015200030300504;090152000303005041;09015200030300504101;202012
1;90152;000303;005;04;1;02;2;43;2;1;10;1;2; ; ; ;11;6;6; ; ; ;6;1; ;2;1; ; ; ; ; ; ;45; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9700;5120;10; ;3;1;2;2;1;2;1;2;2;2;1;1;4;8;1;1; ; ;1;45; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1; ; ; ; ;360;37;1;45; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;442;3964,73684870123;1;3;1; ;5;20;110,5;0;0;4;3111;090152000303;09015200030300504;090152000303005041;09015200030300504102;202012
1;90152;000303;005;04;1;03;1;19;3;10;10;6;2; ; ; ;11;7;3; ; ; ;6;2;90150;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;8; ; ;2;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;110,5;0;0;4;3111;090152000303;09015200030300504;090152000303005041;09015200030300504103;202012
1;90152;000303;005;04;1;04;1;17;3;1;10;6;1;1;1;1; ;7;2; ; ; ;6;2;90150;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;110,5;0;0;4;3111;090152000303;09015200030300504;090152000303005041;09015200030300504104;202012
1;90152;000303;005;05;1;01;1;78;1;10;10;1;2; ; ; ;1;4;6;1; ; ;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;150;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;75;1;0;3;3111;090152000303;09015200030300505;090152000303005051;09015200030300505101;202012
1;90152;000303;005;05;1;02;2;75;2;10;10;1;2; ; ; ;1;4;2;1; ; ;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;75;1;0;3;3111;090152000303;09015200030300505;090152000303005051;09015200030300505102;202012
1;90152;000303;005;06;1;01;1;84;1;3;10;1;2; ; ; ;1;4;3;1; ; ;6;1; ;4;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3; ; ; ; ; ; ; ; ; ; ; ;2; ;1;100;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;183,166666666667;0;0;3;3111;090152000303;09015200030300506;090152000303005061;09015200030300506101;202012
1;90152;000303;005;06;1;02;2;81;2;10;10;1;2; ; ; ;1;4;6;1; ; ;6;1; ;4;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;2;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;183,166666666667;0;0;3;3111;090152000303;09015200030300506;090152000303005061;09015200030300506102;202012
1;90152;000303;005;06;1;03;1;54;3;10;10;6;2; ; ; ;5;4;6;1; ; ;6;1; ;4;1; ; ; ; ; ; ;40; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2395;4321;2; ;3;1;2;2;2;2;2;2;2;2;2;2;7;1;1;5;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3; ; ; ; ;320;0;1;50; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;370;3964,73684870123;4;1;1; ;4;3;183,166666666667;0;0;3;3111;090152000303;09015200030300506;090152000303005061;09015200030300506103;202012
1;90152;000303;005;06;1;04;1;50;3;10;10;6;2; ; ; ;11;6;3; ; ; ;6;1; ;4;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;183,166666666667;0;0;3;3111;090152000303;09015200030300506;090152000303005061;09015200030300506104;202012
1;90152;000303;005;06;1;05;2;40;3;10;10;6;2; ; ; ;8;6;6; ; ; ;6;1; ;4;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;8; ; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;9; ; ; ; ; ;183,166666666667;0;0;4;3111;090152000303;09015200030300506;090152000303005061;09015200030300506105;202012
1;90152;000303;005;06;1;06;1;39;3;1;10;6;2; ; ; ;5;4;6;1; ; ;6;1; ;4;1; ; ; ; ; ; ;40; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2023;9321;2; ;2;1;2;2;1;1;2;2;2;1;1;1;8;1;1;60;1;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1; ; ; ; ;470;54;1;55; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;579;3964,73684870123;1;1;1; ;9;3;183,166666666667;0;0;3;3111;090152000303;09015200030300506;090152000303005061;09015200030300506106;202012
1;90152;000303;005;07;1;01;1;36;1;1;10;1;2; ; ; ;5;4;6;1; ; ;6;1; ;1;1; ; ; ; ; ; ;40; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;810;8343;2; ;2;1;2;2;1;1;1;2;2;2;1;1;13;1;1;50;1;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1; ; ; ; ;350;150;1;88; ; ; ;2; ;2; ;1;100;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;588;3964,73684870123;1;1;1; ;8;2;148,8;0;0;3;3111;090152000303;09015200030300507;090152000303005071;09015200030300507101;202012
1;90152;000303;005;07;1;02;2;40;2;10;10;1;2; ; ; ;15;6;3; ; ; ;6;1; ;1;1; ; ; ; ; ; ;60; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4781;5211;6;2; ; ; ; ; ; ; ; ; ; ; ; ;2;9;1;2;3;2;1;60; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;5;3;3;2;30;1;10;0; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;40;3964,73684870123;4;2;1; ;5;7;148,8;0;0;3;3111;090152000303;09015200030300507;090152000303005071;09015200030300507102;202012
1;90152;000303;005;07;1;03;2;14;3;1;10;6;1;2;1;1; ;5;9;1; ; ;6;1; ;1;1; ; ; ; ; ; ;10;7;2; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4781;5211;7; ; ; ; ; ; ; ; ; ; ; ; ; ;1;9;1;2;3;2;1;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;0; ; ; ; ; ;148,8;0;0;3;3111;090152000303;09015200030300507;090152000303005071;09015200030300507103;202012
1;90152;000303;005;07;1;04;2;12;3;1;10;6;1;2;1;1; ;5;8;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;0; ; ; ; ; ;148,8;0;0;3;3111;090152000303;09015200030300507;090152000303005071;09015200030300507104;202012
1;90152;000303;005;07;1;05;1;10;3;1;10; ;1;1;1;1; ;5;4;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3964,73684870123;0; ; ; ; ; ;148,8;0;0;3;3111;090152000303;09015200030300507;090152000303005071;09015200030300507105;202012
1;92750;000303;005;01;1;01;2;59;1;1;10;6;2; ; ; ;2;9;5; ;1;30110410;6;1; ;1;1; ; ; ; ; ; ;50; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;122;6112;5;2; ; ; ; ; ; ; ; ; ; ; ; ;6;10;1;4;3;1;1;50; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1;3000;1;50;1600; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1450;1724,63216284511;1;1;1; ;6;1;1450;0;0;5;0912;092750000303;09275000030300501;092750000303005011;09275000030300501101;202012
1;92750;000303;005;02;1;01;1;82;1;1;10;1;2; ; ; ;1;4;6;1; ; ;1;2;170352;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;1;660;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;276,666666666667;0;0;3;0912;092750000303;09275000030300502;092750000303005021;09275000030300502101;202012
1;92750;000303;005;02;1;02;2;72;2;1;10;1;2; ; ; ;1;4;5;1; ; ;1;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;70;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;276,666666666667;0;0;3;0912;092750000303;09275000030300502;092750000303005021;09275000030300502102;202012
1;92750;000303;005;02;1;03;1;20;5;10;10;6;1;1;1;1; ;9;1; ;2; ;1;2;90150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;1;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;100;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;276,666666666667;0;0;5;0912;092750000303;09275000030300502;092750000303005021;09275000030300502103;202012
1;92750;000303;005;03;1;01;1;88;1;10;10;1;2; ; ; ;1;4;6;1; ; ;6;2;10150;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;146,666666666667;0;0;3;0912;092750000303;09275000030300503;092750000303005031;09275000030300503101;202012
1;92750;000303;005;03;1;02;2;73;2;10;10;1;2; ; ; ;1;4;6;1; ; ;6;2;10150;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;146,666666666667;0;0;3;0912;092750000303;09275000030300503;092750000303005031;09275000030300503102;202012
1;92750;000303;005;03;1;03;1;21;5;1;10;6;2; ; ; ;5;7;3; ; ; ;6;1; ;2;1; ; ; ; ; ; ;40; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1010;9321;2; ;2;2;2;2;1;2;1;2;2;2;1;1;2;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1; ; ; ; ;400;40;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;440;1724,63216284511;1;1;1; ;9;3;146,666666666667;0;0;4;0912;092750000303;09275000030300503;092750000303005031;09275000030300503103;202012
1;92750;000303;005;04;1;01;1;75;1;1;10;2;2; ; ; ;1;4;2;1; ; ;5;2;20150;1;1; ; ; ; ; ; ;45; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1622;7115;5;2; ; ; ; ; ; ; ; ; ; ; ; ;50;6;1;3;2;1;1;45; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;3;3;3;3000;2; ;1200; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1800;1724,63216284511;1;1;1; ;7;3;1800;0;0;3;0912;092750000303;09275000030300504;092750000303005041;09275000030300504101;202012
1;92750;000303;005;05;1;01;2;75;1;1;10;2;2; ; ; ;1;4;3;1; ; ;6;2;60550;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;3;1; ; ; ; ; ; ; ; ; ; ; ;1;200;2; ;1;200;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;400;0;0;3;0912;092750000303;09275000030300505;092750000303005051;09275000030300505101;202012
1;92750;000303;005;06;1;01;1;66;1;2;10;5;2; ; ; ;1;4;6;1; ; ;6;2;60550;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3;1; ; ; ; ; ; ; ; ; ; ; ;1;120;2; ;1;50;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;119;0;0;3;0912;092750000303;09275000030300506;092750000303005061;09275000030300506101;202012
1;92750;000303;005;06;1;02;2;57;2;3;10;5;2; ; ; ;1;4;6;1; ; ;6;1; ;2;1; ; ; ; ; ; ;30;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;127;6112;6;2; ; ; ; ; ; ; ; ; ; ; ; ;40;10;1;1;3;2;1;30; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;3;3;3;1;100;1;40;20; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;120;1724,63216284511;4;2;1; ;6;1;119;0;0;3;0912;092750000303;09275000030300506;092750000303005061;09275000030300506102;202012
1;92750;000303;005;06;1;03;2;32;3;10;10;2;2; ; ; ;3;6;4; ; ; ;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;300;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;119;0;0;4;0912;092750000303;09275000030300506;092750000303005061;09275000030300506103;202012
1;92750;000303;005;06;1;04;1;19;3;10;10;6;1;1;1;1; ;7;2; ; ; ;6;3;724;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;119;0;0;4;0912;092750000303;09275000030300506;092750000303005061;09275000030300506104;202012
1;92750;000303;005;06;1;05;1;7;5;10;10; ;1;1;1;1; ;5;2;1; ; ;6;3;724;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;0; ; ; ; ; ;119;0;0;3;0912;092750000303;09275000030300506;092750000303005061;09275000030300506105;202012
1;92750;000303;005;07;1;01;2;76;1;3;10;6;2; ; ; ;1;4;2;2; ; ;1;2;10165;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;1; ; ; ; ; ; ; ; ; ; ; ;1;300;2; ;1;50;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1724,63216284511;9; ; ; ; ; ;350;0;0;3;0912;092750000303;09275000030300507;092750000303005071;09275000030300507101;202012
1;100451;000303;005;01;1;01;1;39;1;10;10;1;2; ; ; ;3;6;6; ; ; ;1;1; ;2;1; ; ; ; ; ; ;15;1;1; ;1;1;25;7; ; ; ; ; ; ; ; ; ; ; ; ;1312;7318;6;2; ; ; ; ; ; ; ; ; ; ; ; ;19;9;1;2;2;2;1;15; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;5;3;3;2;300;2; ;20; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;280;2842,07181949178;2;2;1; ;7;3;56;1;0;4;1012;100451000303;10045100030300501;100451000303005011;10045100030300501101;202012
