area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p08a;p08b;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p231;p232;p233;p24;p25;p251;p26;p27;p28;p29;p30;p31;p32;p33;p34;p341;p35;p351;p36;p37;p38;p381;p39;p40;p41;p42;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p59;p60a;p60b;p60c;p60d;p60e;p60f;p60g;p60h;p60i;p60j;p60k;p61b1;p61c1;p61c2;p61c3;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;p79;p80;p81;p82;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;ingrl;fexp;condact;secemp;empleo;desempleo;grupo1;rama1;ingpc;pobreza;epobreza;nnivins;estrato;upm;id_vivienda;id_hogar;id_persona;periodo
2;200250;000022;005;06;1;03;2;1;3;10;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;210,056709404024;0; ; ; ; ; ;216,666666666667;0;0; ;2022;200250000022;20025000002200506;200250000022005061;20025000002200506103;202012
2;200250;000022;005;07;1;01;1;70;1;10;10;1;2; ; ; ;1;4;6;1; ; ;6;2;71050;2;1; ; ; ; ; ; ;56; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141;6121;5;2; ; ; ; ; ; ; ; ; ; ; ; ;35;10;1;3;3;2;1;56; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3;2000;1;300;800; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1500;210,056709404024;1;2;1; ;6;1;1450;0;0;3;2022;200250000022;20025000002200507;200250000022005071;20025000002200507101;202012
2;200250;000022;005;07;1;02;2;64;2;10;10;1;2; ; ; ;1;4;6;1; ; ;6;2;10550;2;1; ; ; ; ; ; ;74; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4721;7511;6;2; ; ; ; ; ; ; ; ; ; ; ; ;30;6;1;1;2;1;2;66;8;0;141;9212;7; ;10;1;3;3;2;1; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1;2500;1;100;1200; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1400;210,056709404024;1;1;1; ;7;7;1450;0;0;3;2022;200250000022;20025000002200507;200250000022005071;20025000002200507102;202012
2;200250;000022;005;08;1;01;2;33;1;10;10;5;2; ; ; ;3;6;6; ; ; ;6;2;120550;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;7;1;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;2;2;2;2;2;2;2;2;2;2;2;8;1; ;210,056709404024;8; ; ;1; ; ;100;0;0;4;2022;200250000022;20025000002200508;200250000022005081;20025000002200508101;202012
2;200250;000022;005;08;1;02;1;36;2;10;10;5;2; ; ; ;11;6;4; ; ; ;6;1; ;1;1; ; ; ; ; ; ;30;3;1; ;3;1;26;7; ; ; ; ; ; ; ; ; ; ; ; ;311;6222;4; ;6;2;2;2;2;2;2;2;2;2;2;2;0;3;1;2;3;2;1;30; ; ; ; ; ; ; ; ; ; ; ;3;1;1;2;2;1;2;2;2;2;1;2;5;3;3;1; ; ; ; ;300;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;300;210,056709404024;2;2;1; ;6;1;100;0;0;4;2022;200250000022;20025000002200508;200250000022005081;20025000002200508102;202012
2;200250;000022;005;08;1;03;1;3;3;10;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;210,056709404024;0; ; ; ; ; ;100;0;0; ;2022;200250000022;20025000002200508;200250000022005081;20025000002200508103;202012
1;200350;000049;005;01;1;01;2;47;1;2;10;5;2; ; ; ;2;9;5; ;1;30110301;6;2;91450;1;1; ; ; ; ; ; ;56; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5510;5152;5;2; ; ; ; ; ; ; ; ; ; ; ; ;10;6;1;2;1;1;1;56; ; ; ; ; ; ; ; ; ; ; ;4;1;2;2;2;2;2;2;2;2;1;2;2;1;3;1;0;2; ;65; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;-1;111,256655255632;4;1;1; ;5;9; ; ; ;5;2011;200350000049;20035000004900501;200350000049005011;20035000004900501101;202012
1;200350;000049;005;01;1;02;1;34;2;1;10;5;2; ; ; ;11;6;3; ; ; ;6;2;111252;2;1; ; ; ; ; ; ;30;3;1; ;1;1;10;1;4; ; ; ; ; ; ; ; ; ; ; ;122;6114;4; ;6;1;2;2;2;2;2;2;2;2;2;2;1;11;1;2;3;2;2;16;14;0;5510;9112;2; ;1;1;2;1;1;3;1;2;2;2;2;2;2;2;2;1;2;1;3;3;1; ; ; ; ;0;0;2; ;0;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;111,256655255632;2;2;1; ;6;1; ; ; ;3;2011;200350000049;20035000004900501;200350000049005011;20035000004900501102;202012
1;200350;000049;005;02;1;01;2;49;1;1;10;2;2; ; ; ;5;6;6; ; ; ;6;2;170184;1;1; ; ; ; ; ; ;40; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8413;3359;1; ;1;2;2;2;1;2;1;2;2;2;1;1;15;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ;730;170;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;900;111,256655255632;1;1;1; ;3;15;300;0;0;4;2011;200350000049;20035000004900502;200350000049005021;20035000004900502101;202012
1;200350;000049;005;02;1;02;1;11;3;1;10; ;1;1;1;1; ;5;5;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;111,256655255632;0; ; ; ; ; ;300;0;0;3;2011;200350000049;20035000004900502;200350000049005021;20035000004900502102;202012
