area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;sp01;sp02a;sp02b;sp02c;sp02d;sp02e;sp02f;sp02g;sp02h;sp02i;sp02j;sp02k;sp02l;sp02m;sp02n;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
2;30355;900302;022;02;1;01;1;64;1;10;10;1;2; ; ; ;11;4;6;1; ; ;1;1; ;1;1; ; ; ; ; ;20;1; ;2;1;20; ;1;4; ; ; ; ; ; ; ; ;150;6130;6;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ;50;10;1;6;3;2;1;20; ; ; ; ; ; ; ; ; ; ; ;5;108;1;60;50; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;6;7;99;5;5;8;99;8;3;7;5;8;99;99;1;0321;1581,36964460514;3;118;25,8571428571429;1;1;2;1; ;2;6;1;030355900302;03035590030202202;030355900302022021;03035590030202202101;202206
2;30355;900302;022;02;1;02;2;57;2;10;10;1;2; ; ; ;11;1; ;2; ; ;1;1; ;1;1; ; ; ; ; ;20;1; ;4; ; ;7; ; ; ; ; ; ; ; ; ; ;150;9212;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;40;10;1;6;3;2;1;20; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1;50;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;99;6;99;2;3;8;5;8;5;7;4;7;99;99;1;0321;1581,36964460514;1; ;25,8571428571429;1;1;5;1; ;2;9;1;030355900302;03035590030202202;030355900302022021;03035590030202202102;202206
2;30355;900302;022;02;1;03;1;42;3;10;10;2;2; ; ; ;3;4;6;1; ; ;1;1; ;1;1; ; ; ; ; ;20;1; ;3;1;25; ;1;4; ; ; ; ; ; ; ; ;150;9213;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;30;10;1;6;3;2;1;20; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;8;6;99;5;5;8;6;10;7;7;5;8;5;5;1;0321;1581,36964460514;3; ;25,8571428571429;1;1;2;1; ;2;9;1;030355900302;03035590030202202;030355900302022021;03035590030202202103;202206
2;30355;900302;022;02;1;04;2;37;3;10;10;6;2; ; ; ;3;4;6;1; ; ;1;1; ;1;1; ; ; ; ; ;15;1; ;2;1;20; ;7; ; ; ; ; ; ; ; ; ;150;9213;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20;10;1;6;3;2;1;15; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;99;8;99;8;9;8;6;10;7;9;7;9;6;5;1;0321;1581,36964460514;3; ;25,8571428571429;1;1;2;1; ;2;9;1;030355900302;03035590030202202;030355900302022021;03035590030202202104;202206
2;30355;900302;022;02;1;05;1;22;3;10;10;6;1;3;1;4; ;7;1; ; ; ;1;1; ;1;1; ; ; ; ; ;12;7; ;4; ; ;3; ; ; ; ; ; ; ; ; ; ;150;9211;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;10;1;6;3;2;1;12; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;7;5;8;4;3;7;2;8;5;7;3;7;4;3;1;0321;1581,36964460514;4; ;25,8571428571429;1;1;5;1; ;2;9;1;030355900302;03035590030202202;030355900302022021;03035590030202202105;202206
2;30355;900302;022;02;1;06;1;20;3;10;10;6;1;1;1;4; ;7;2; ; ; ;1;1; ;1;1; ; ; ; ; ;12;7; ;4; ; ;2; ; ; ; ; ; ; ; ; ; ;150;9211;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;10;1;6;3;2;1;12; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;8;9;7;5;4;7;5;10;5;8;4;7;5;4;1;0321;1581,36964460514;4; ;25,8571428571429;1;1;5;1; ;2;9;1;030355900302;03035590030202202;030355900302022021;03035590030202202106;202206
2;30355;900302;022;02;1;07;1;11;5;10;10; ;1;1;1;4; ;5;6;1; ; ;1;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;5;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0321;1581,36964460514;3; ;25,8571428571429;1;1;0; ; ; ; ; ;030355900302;03035590030202202;030355900302022021;03035590030202202107;202206
2;30355;900302;022;03;1;01;2;52;1;3;10;1;2; ; ; ;1;4;6;1; ; ;1;1; ;1;1; ; ; ; ; ;21;1; ;4; ; ;5; ; ; ; ; ; ; ; ; ; ;150;6130;6;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ;34;10;1;4;3;2;1;21; ; ; ; ; ; ; ; ; ; ; ;3;300;1;230;60; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1;50;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;99;8;99;8;6;7;8;7;6;8;9;8;99;99;1;0321;1581,36964460514;3;470;63,8571428571429;1;0;1;1; ;2;6;1;030355900302;03035590030202203;030355900302022031;03035590030202203101;202206
2;30355;900302;022;03;1;02;1;32;3;10;10;2;2; ; ; ;3;4;6;1; ; ;6;1; ;2;1; ; ; ; ; ;20;1; ;3;1;20; ;4;4; ; ; ; ; ; ; ; ;150;9213;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;10;1;4;3;2;2;12;8;0;141;9212;4; ;11;1;2;3;2;5; ; ; ; ; ; ; ; ;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;9;9;99;7;7;8;99;7;7;8;5;8;99;99;1;0321;1581,36964460514;3;90;63,8571428571429;1;0;2;1; ;2;9;1;030355900302;03035590030202203;030355900302022031;03035590030202203102;202206
2;30355;900302;022;03;1;03;2;23;3;10;10;5;2; ; ; ;15;5;7;1; ; ;6;1; ;1;1; ; ; ; ; ;30;1; ;4; ; ;1; ; ; ; ; ; ; ; ; ; ;141;6121;4; ; ; ;6;2;2;2;2;2;2;2;2;2;2;2;0;11;1;3;3;2;1;30; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;0;0;2; ; ; ; ;2; ;2; ;2; ;1;200;1;60;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;99;9;7;9;6;8;99;8;7;6;5;6;99;99;1;0321;1581,36964460514;3;0;63,8571428571429;1;0;4;1; ;2;6;1;030355900302;03035590030202203;030355900302022031;03035590030202203103;202206
2;30355;900302;022;03;1;04;2;18;3;10;10;5;2; ; ; ;11;5;9;1; ; ;6;2;30350;1;1; ; ; ; ; ;30;9; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ;141;6121;4; ; ; ;6;2;2;2;2;2;2;2;2;2;2;2;0;11;1;3;3;1;1;30; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;300;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;99;8;99;6;6;8;8;7;8;6;4;4;99;99;1;0321;1581,36964460514;3;300;63,8571428571429;1;0;4;1; ;1;6;1;030355900302;03035590030202203;030355900302022031;03035590030202203104;202206
