area;ciudad;conglomerado;panelm;vivienda;hogar;P01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p75g;p76;p76h;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;150350;606;49;2;1;4;2;4;7;10;10; ; ; ; ; ; ; ; ; ; ; ; ;2;150150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683; ; ;87,5;1;0;0; ; ; ; ; ;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
1;150350;606;49;3;1;1;1;59;1;4;10;2;2; ; ; ;11;6;6; ; ; ;1;2;150154;1;1; ; ; ; ; ;48; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;4520;7231;2; ; ; ;2;1;2;2;2;2;2;2;2;2;2;2;5;1;1;2;3;1;1;48; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;400;0;1;72; ; ; ;2; ;1;1400;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683;4;472;1872;0;0;1;1; ;1;7;7;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
1;150350;606;49;4;1;1;2;32;1;10;10;6;2; ; ; ;3;6;6; ; ; ;6;2;150150;1;1; ; ; ; ; ;5;2; ;1;1;35; ;1;4; ; ; ; ; ; ; ; ;5510;5120;2; ; ; ;3;1;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;1;20; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;200;0;1;36; ; ; ;2; ;2; ;1;250;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683;4;236;125,75;0;0;2;1; ;1;5;9;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
1;150350;606;49;4;1;2;2;4;3;10;10; ; ; ; ; ; ; ; ; ; ; ; ;2;150150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683; ; ;125,75;0;0;0; ; ; ; ; ;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
1;150350;606;49;4;1;3;1;3;3;10;10; ; ; ; ; ; ; ; ; ; ; ; ;2;150150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683; ; ;125,75;0;0;0; ; ; ; ; ;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
1;150350;606;49;4;1;4;1;8;7;1;10; ;1;1;2;4; ;5;3;1; ; ;6;2;160150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;17;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683;3; ;125,75;0;0;0; ; ; ; ; ;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
1;150350;606;49;5;1;1;2;57;1;10;10;6;2; ; ; ;3;6;3; ; ; ;6;2;70650;1;1; ; ; ; ; ;48; ;1;2;1;3; ;7; ; ; ; ; ; ; ; ; ;5610;5131;2; ; ; ;2;1;2;2;2;2;2;2;2;2;2;2;35;1;1;3;3;1;2;45;3;0;146;6320;6;2;9;1;1;3;2;5; ; ; ; ;180;0;1;72;0;1;4;2; ;2; ;1;150;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683;3;256;406;0;0;3;1; ;1;5;9;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
1;150350;606;49;6;1;1;1;50;1;10;10;5;2; ; ; ;5;4;6;1; ; ;6;2;180650;1;1; ; ; ; ; ;56; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;4520;7412;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;36;6;1;1;2;1;1;56; ; ; ; ; ; ; ; ; ; ; ;5;1900;2; ;1500; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683;3;400;233,3333333;0;0;4;1; ;1;7;7;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
1;150350;606;49;6;1;2;2;50;2;10;10;5;2; ; ; ;11;4;6;1; ; ;6;2;180450;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683;3; ;233,3333333;0;0;9; ; ; ; ; ;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
1;150350;606;49;6;1;3;2;24;3;10;10;6;2; ; ; ;2;9;5; ;1;30310403;6;2;180650;1;1; ; ; ; ; ;24;2; ;3;1;20; ;1;4; ; ; ; ; ; ; ; ;8610;2634;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;0;8;1;1;3;1;1;24; ; ; ; ; ; ; ; ; ; ; ;5;300;2; ;0; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683;5;300;233,3333333;0;0;2;1; ;1;2;17;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
