area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;rsp1;sp01;sp02a;sp02b;sp02c;sp02d;sp02e;sp02f;sp02g;sp02h;sp02i;sp02j;sp02k;sp02l;af101;af102h;af102m;af201cod;af201d;af201h;af201m;af202cod;af202d;af202h;af202m;af203cod;af203d;af203h;af203m;af204h;af204m;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;002103;034;06;1;01;2;42;1;10;10;3;2; ; ; ;5;9;4; ;1;30910301;6;1; ;1;2;12;1;2;2;1;50; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;8690;3211;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;8;1;1;3;1;1;50; ; ; ; ; ; ; ; ; ; ; ;5;320;2; ;0; ; ; ; ; ; ; ;2; ;2; ;1;200;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;99;2;8;5;2;5;4;7;5;99;2;0; ; ; ;2; ; ; ;2; ; ; ;1;5;0;30;9;0;1;2713;73,452161809374;5;320;326,75;0;0;4;1; ;1;3;17;010150002103;01015000210303406;010150002103034061;01015000210303406101;202212
1;10150;002103;034;06;1;02;1;22;3;10;10;6;2; ; ; ;5;7;2; ; ; ;6;1; ;1;1; ; ; ; ; ;30;1; ;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4520;9629;2; ; ; ;3;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;30; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;240;0;1;60; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1;5;2;30;1;6;0;30;4;30;1;2713;73,452161809374;4;300;326,75;0;0;4;1; ;1;9;7;010150002103;01015000210303406;010150002103034061;01015000210303406102;202212
1;10150;002103;034;06;1;03;1;19;3;10;10;6;2; ; ; ;13;7;3; ; ; ;6;1; ;1;1; ; ; ; ; ;12;1; ;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4771;4321;2; ; ; ;3;1;2;2;2;2;2;2;2;2;2;2;0;1;1;4;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;425;0;1;60; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1;7;2;0;1;2;1;20;4;0;1;2713;73,452161809374;4;485;326,75;0;0;1;1; ;1;4;7;010150002103;01015000210303406;010150002103034061;01015000210303406103;202212
1;10150;002103;034;06;1;04;2;6;3;1;10; ;1;1;1;4; ;5;1;2; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;30; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;73,452161809374;3; ;326,75;0;0;0; ; ; ; ; ;010150002103;01015000210303406;010150002103034061;01015000210303406104;202212
1;10150;002103;034;08;1;01;1;48;1;2;10;1;2; ; ; ;5;6;6; ; ; ;6;1; ;1;1; ; ; ; ; ;30;1; ;2;1;10; ;1;4; ; ; ; ; ; ; ; ;8121;9112;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;0;8;1;1;3;2;1;30; ; ; ; ; ; ; ; ; ; ; ;2;300;2; ;0; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1;5;3;30;1;7;1;30;5;30;1;2713;73,452161809374;4;300;195,333333333333;0;0;2;1; ;2;9;14;010150002103;01015000210303408;010150002103034081;01015000210303408101;202212
1;10150;002103;034;08;1;02;2;39;2;10;10;1;2; ; ; ;5;6;6; ; ; ;6;1; ;1;1; ; ; ; ; ;49; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;5610;5120;2; ; ; ;3;1;2;2;2;2;2;2;2;2;2;2;17;1;1;3;2;2;1;49; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;225;0;1;60; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;99;4;7;3;3;8;3;3;6;3;4;5; ; ; ;2; ; ; ;2; ; ; ;1;7;1;0;5;30;1;2713;73,452161809374;4;285;195,333333333333;0;0;4;1; ;2;5;9;010150002103;01015000210303408;010150002103034081;01015000210303408102;202212
1;10150;002103;034;08;1;03;1;12;3;2;10;6;1;1;1;2; ;5;8;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;30; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;73,452161809374;3; ;195,333333333333;0;0;0; ; ; ; ; ;010150002103;01015000210303408;010150002103034081;01015000210303408103;202212
1;10150;002803;023;01;1;01;2;53;1;1;10;6;2; ; ; ;5;4;6;1; ; ;6;2;10850;1;1; ; ; ; ; ;40; ;1;4; ; ;1; ; ; ; ; ; ; ; ; ; ;9700;9111;10; ; ; ;2;1;2;2;1;2;1;2;2;2;1;1;20;8;1;1; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;385;40;1;110; ; ; ;2; ;2; ;1;200;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1;6;2;0;1;7;3;30;3;0;1;2711;75,145371701645;3;535;367,5;0;0;1;1; ;3;9;20;010150002803;01015000280302301;010150002803023011;01015000280302301101;202212
1;10150;002803;023;01;1;02;2;87;6;10;10;4;2; ; ; ;1;4;2;1; ; ;6;2;10850;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;99;7;99;5;4;5;99;2;99;5;99;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2711;75,145371701645;3; ;367,5;0;0;9; ; ; ; ; ;010150002803;01015000280302301;010150002803023011;01015000280302301102;202212
1;10150;002803;023;02;1;01;1;75;1;1;10;1;2; ; ; ;2;10;2; ;1;50110105;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;8; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;1;1000;1;700;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2711;75,145371701645;5; ;850;0;0;9; ; ; ; ; ;010150002803;01015000280302302;010150002803023021;01015000280302302101;202212
1;10150;002803;023;02;1;02;2;72;2;1;10;1;2; ; ; ;1;6;6; ; ; ;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;8; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;10;6;5;6;5;5;6;6;6;6;6;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2711;75,145371701645;4; ;850;0;0;9; ; ; ; ; ;010150002803;01015000280302302;010150002803023021;01015000280302302102;202212
