area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;000304;042;03;1;05;2;4;3;1;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291; ; ;75,2;1;0;0; ; ; ; ; ;010150000304;01015000030404203;010150000304042031;01015000030404203105;202306
1;10150;000304;042;04;1;01;2;76;1;10;10;6;2; ; ; ;1;4;2;1; ; ;6;2;10550;1;2;8; ; ; ; ;10;1; ;4; ; ;5; ; ; ; ; ; ; ; ; ; ;146;6320;6;1;3;2; ; ; ; ; ; ; ; ; ; ; ; ;40;9;1;2;3;2;1;10; ; ; ; ; ; ; ; ; ; ; ;5;0;1;60;15; ; ; ; ; ; ; ;2; ;2; ;1;350;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3;45;197,5;0;0;4;1; ;2;6;1;010150000304;01015000030404204;010150000304042041;01015000030404204101;202306
1;10150;000304;042;04;1;02;2;73;7;10;10;6;2; ; ; ;3;4;3;1; ; ;6;2;10550;1;2;8; ; ; ; ;10;1; ;4; ; ;5; ; ; ; ; ; ; ; ; ; ;146;9212;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;40;9;1;2;3;2;1;10; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3; ;197,5;0;0;5;1; ;2;9;1;010150000304;01015000030404204;010150000304042041;01015000030404204102;202306
1;10150;000304;042;05;1;01;1;29;1;1;10;6;2; ; ; ;2;9;6; ;1;30910205;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;8620;2211;2; ; ; ;2;2;2;2;1;2;1;2;2;2;1;1;4;1;1;40;4;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1200;120;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;5;1320;536,666666666667;0;0;1;1; ;1;2;17;010150000304;01015000030404205;010150000304042051;01015000030404205101;202306
1;10150;000304;042;05;1;02;2;51;6;2;10;3;2; ; ; ;3;6;1; ; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;8; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3; ;536,666666666667;0;0;9; ; ; ; ; ;010150000304;01015000030404205;010150000304042051;01015000030404205102;202306
1;10150;000304;042;05;1;03;1;24;7;10;10;6;1;5;1;4; ;9;4; ;2; ;6;1; ;1;1; ; ; ; ; ;7;1; ;4; ; ;1; ; ; ; ; ; ; ; ; ; ;6512;3315;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;3;8;1;1;3;1;1;7; ; ; ; ; ; ; ; ; ; ; ;5;300;2; ;10; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;5;290;536,666666666667;0;0;4;1; ;1;3;11;010150000304;01015000030404205;010150000304042051;01015000030404205103;202306
1;10150;000304;042;06;1;01;2;47;1;10;10;4;2; ; ; ;3;4;6;1; ; ;6;2;111150;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4799;9520;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;10;3;1;3;3;2;1;40; ; ; ; ; ; ; ; ; ; ; ;5;900;2; ;450; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1;55;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3;450;168,333333333333;0;0;1;1; ;2;9;7;010150000304;01015000030404206;010150000304042061;01015000030404206101;202306
1;10150;000304;042;06;1;02;2;23;3;10;10;6;2; ; ; ;3;7;3; ; ; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4799;9520;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;3;3;2;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;4; ;168,333333333333;0;0;5;1; ;2;9;7;010150000304;01015000030404206;010150000304042061;01015000030404206102;202306
1;10150;000304;042;06;1;03;1;17;3;10;10;6;2; ; ; ;4;5;10;1; ; ;6;2;111150;1;1; ; ; ; ; ;20;1; ;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4799;9520;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;3;3;2;1;20; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3; ;168,333333333333;0;0;5;1; ;2;9;7;010150000304;01015000030404206;010150000304042061;01015000030404206103;202306
1;10150;000304;042;07;1;01;1;55;1;10;10;1;2; ; ; ;3;4;6;1; ; ;6;2;10550;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4921;8331;2; ; ; ;3;2;2;2;2;2;2;2;2;2;2;2;25;3;1;2;4;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;600;0;2; ; ; ; ;2; ;2; ;1;150;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3;600;241;0;0;1;1; ;1;8;8;010150000304;01015000030404207;010150000304042071;01015000030404207101;202306
