area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;003302;027;01;1;1;1;4;3;4;2;1;2;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;010150003302;01015000330202701;010150003302027011;2711;135,089344062169;202112
1;10150;003302;027;02;1;1;1;4;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;6;010150003302;01015000330202702;010150003302027021;2711;135,089344062169;202112
1;10150;003302;027;03;1;3;1;2;1;2;1;1;1;1;1;0;1;1;1; ; ;1; ; ;1;1;1;2;6;010150003302;01015000330202703;010150003302027031;2711;135,089344062169;202112
1;10150;003302;027;04;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150003302;01015000330202704;010150003302027041;2711;135,089344062169;202112
1;10150;003302;027;06;1;3;1;4;3;2;2;1;2;5;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;010150003302;01015000330202706;010150003302027061;2711;135,089344062169;202112
1;10150;003302;027;07;1;3;1;4;3;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150003302;01015000330202707;010150003302027071;2711;135,089344062169;202112
1;10150;003501;023;01;1;1;1;2;1;2;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150003501;01015000350102301;010150003501023011;2712;195,067177269416;202112
1;10150;003501;023;02;1;1;1;2;2;1;2;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150003501;01015000350102302;010150003501023021;2712;195,067177269416;202112
1;10150;003501;023;03;1;1;1;2;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150003501;01015000350102303;010150003501023031;2712;195,067177269416;202112
1;10150;003501;023;04;1;1;1;2;2;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150003501;01015000350102304;010150003501023041;2712;195,067177269416;202112
1;10150;003501;023;05;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150003501;01015000350102305;010150003501023051;2712;195,067177269416;202112
1;10150;003501;023;06;1;1;1;2;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150003501;01015000350102306;010150003501023061;2712;195,067177269416;202112
1;10150;003501;023;07;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150003501;01015000350102307;010150003501023071;2712;195,067177269416;202112
1;10150;004901;027;02;1;1;1;3;2;4;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150004901;01015000490102702;010150004901027021;2713;83,4757681330685;202112
1;10150;004901;027;04;1;3;1;2;3;4;2;1;3;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150004901;01015000490102704;010150004901027041;2713;83,4757681330685;202112
1;10150;004901;027;06;1;3;1;4;2;1;1;1;1;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;010150004901;01015000490102706;010150004901027061;2713;83,4757681330685;202112
1;10150;004901;027;07;1;1;1;4;3;1;3;2;3;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150004901;01015000490102707;010150004901027071;2713;83,4757681330685;202112
1;10150;004901;027;08;1;1;2;1;2;4;2;1;2;3;2;1;1;1;1; ; ;1; ; ;1;1;1;2;5;010150004901;01015000490102708;010150004901027081;2713;83,4757681330685;202112
1;10150;004901;027;09;1;4;1;2;3;4;2;1;2;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;010150004901;01015000490102709;010150004901027091;2713;83,4757681330685;202112
1;10150;004901;027;10;1;1;1;2;1;2;2;3;3;1;1;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150004901;01015000490102710;010150004901027101;2713;83,4757681330685;202112
1;10150;005002;010;01;1;1;1;2;1;4;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150005002;01015000500201001;010150005002010011;2711;103,690141386699;202112
