area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;3603;12;4;1;1;1;4;1;1;1;3;1;2;0;0;2;1;1;1;;;1;1;1;2;1;2713;191;10150003603;1,015E+15;1,015E+16;201912
1;10150;3603;12;5;1;1;1;2;1;2;1;1;1;4;2;0;1;1;1;1;;;1;1;1;2;3;2713;191;10150003603;1,015E+15;1,015E+16;201912
1;10150;3603;12;6;1;4;1;2;2;4;2;1;2;2;1;0;1;1;1;1;;;1;1;1;2;1;2713;191;10150003603;1,015E+15;1,015E+16;201912
1;10150;3603;12;7;1;3;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;1;1;2713;191;10150003603;1,015E+15;1,015E+16;201912
1;10150;3702;6;1;1;1;1;4;2;4;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;4;2712;60;10150003702;1,015E+15;1,015E+16;201912
1;10150;3702;6;2;1;1;1;4;1;1;1;3;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;60;10150003702;1,015E+15;1,015E+16;201912
1;10150;3702;6;3;1;1;1;3;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;60;10150003702;1,015E+15;1,015E+16;201912
1;10150;3702;6;4;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;60;10150003702;1,015E+15;1,015E+16;201912
1;10150;3702;6;5;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;60;10150003702;1,015E+15;1,015E+16;201912
1;10150;3702;6;6;1;1;1;3;1;2;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;60;10150003702;1,015E+15;1,015E+16;201912
1;10150;3702;6;7;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;6;2712;60;10150003702;1,015E+15;1,015E+16;201912
1;10150;5201;12;1;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;54;10150005201;1,015E+15;1,015E+16;201912
1;10150;5201;12;2;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;54;10150005201;1,015E+15;1,015E+16;201912
1;10150;5201;12;3;1;3;1;4;1;1;2;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;54;10150005201;1,015E+15;1,015E+16;201912
1;10150;5201;12;4;1;1;1;2;2;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2712;54;10150005201;1,015E+15;1,015E+16;201912
1;10150;5201;12;5;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;5;2712;54;10150005201;1,015E+15;1,015E+16;201912
1;10150;5201;12;6;1;1;1;4;1;2;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;1;2712;54;10150005201;1,015E+15;1,015E+16;201912
1;10150;5201;12;7;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;1;2712;54;10150005201;1,015E+15;1,015E+16;201912
1;10150;5402;12;1;1;1;1;2;1;2;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2712;163;10150005402;1,015E+15;1,015E+16;201912
1;10150;5402;12;3;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;5;2712;163;10150005402;1,015E+15;1,015E+16;201912
1;10150;5402;12;4;1;1;1;2;2;2;3;1;3;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;163;10150005402;1,015E+15;1,015E+16;201912
1;10150;5402;12;5;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;1;2712;163;10150005402;1,015E+15;1,015E+16;201912
1;10150;5402;12;6;1;1;1;2;3;2;1;1;2;5;4;0;1;1;1;1;;;1;1;1;2;4;2712;163;10150005402;1,015E+15;1,015E+16;201912
1;10150;5402;12;7;1;4;2;6;1;2;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2712;163;10150005402;1,015E+15;1,015E+16;201912
1;10150;5402;12;8;1;1;1;2;2;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;163;10150005402;1,015E+15;1,015E+16;201912
1;10150;5701;6;1;1;1;1;2;2;1;1;1;2;5;4;1;1;1;1;1;;;1;1;1;2;4;2712;141;10150005701;1,015E+15;1,015E+16;201912
1;10150;5701;6;2;1;1;2;6;1;2;1;1;2;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;141;10150005701;1,015E+15;1,015E+16;201912
1;10150;5701;6;4;1;1;2;6;2;1;2;1;1;2;2;0;1;1;1;1;;;1;1;1;2;1;2712;141;10150005701;1,015E+15;1,015E+16;201912
1;10150;5701;6;5;1;1;1;6;2;4;2;1;1;3;2;0;1;1;1;1;;;1;2;1;2;4;2712;141;10150005701;1,015E+15;1,015E+16;201912
1;10150;5701;6;7;1;1;2;6;2;1;2;1;2;3;2;0;1;3;1;1;;;1;1;1;2;4;2712;141;10150005701;1,015E+15;1,015E+16;201912
1;10150;5701;6;8;1;1;2;1;1;1;1;1;1;2;1;0;1;1;1;1;;;1;1;1;2;1;2712;141;10150005701;1,015E+15;1,015E+16;201912
1;10150;5701;6;9;1;1;2;3;1;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2712;141;10150005701;1,015E+15;1,015E+16;201912
1;10150;5902;12;1;1;4;1;2;1;5;2;1;2;3;2;0;1;1;2;1;;;2;1;1;2;3;2713;107;10150005902;1,015E+15;1,015E+16;201912
