area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;000304;048;01;1;3;1;2;2;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;75,7870659762083;010150000304;01015000030404801;010150000304048011;202412
1;010150;000304;048;02;1;1;2;2;1;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;80;2; ;2; ;2712;75,7870659762083;010150000304;01015000030404802;010150000304048021;202412
1;010150;000304;048;03;1;1;1;2;1;2;1;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;80;2; ;2; ;2712;75,7870659762083;010150000304;01015000030404803;010150000304048031;202412
1;010150;000304;048;04;1;3;1;4;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;2;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2712;75,7870659762083;010150000304;01015000030404804;010150000304048041;202412
1;010150;000304;048;05;1;3;2;1;2;2;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;350; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;75,7870659762083;010150000304;01015000030404805;010150000304048051;202412
1;010150;000304;048;06;1;1;3;2;3;2;2;1;2;1;1;0;1;1;1; ; ;1; ; ;2;2;1;2;4;40; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;75,7870659762083;010150000304;01015000030404806;010150000304048061;202412
1;010150;000304;048;07;1;3;1;2;1;1;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2712;75,7870659762083;010150000304;01015000030404807;010150000304048071;202412
1;010150;000801;058;01;1;1;2;2;1;1;2;1;3;3;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;100; ; ; ;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2712;135,365949761653;010150000801;01015000080105801;010150000801058011;202412
1;010150;000801;058;02;1;1;3;1;2;1;2;1;2;1;1;0;1;1;1; ; ;1; ; ;1;2;1;2;1;50;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;135,365949761653;010150000801;01015000080105802;010150000801058021;202412
1;010150;000801;058;03;1;1;1;4;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;135,365949761653;010150000801;01015000080105803;010150000801058031;202412
1;010150;000801;058;04;1;1;1;4;1;1;2;1;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;135,365949761653;010150000801;01015000080105804;010150000801058041;202412
1;010150;000801;058;05;1;1;2;6;2;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;250;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;135,365949761653;010150000801;01015000080105805;010150000801058051;202412
1;010150;000801;058;06;1;1;2;6;2;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;280;2;2;2;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2712;135,365949761653;010150000801;01015000080105806;010150000801058061;202412
1;010150;000801;058;08;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;20;2; ;2; ;2712;135,365949761653;010150000801;01015000080105808;010150000801058081;202412
1;010150;001103;058;01;1;1;2;1;1;2;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;160;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;145,926015922441;010150001103;01015000110305801;010150001103058011;202412
1;010150;001103;058;02;1;1;2;4;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;120; ; ; ;1;2;2; ;2; ;2; ;2; ;1;55;2; ;2; ;2713;145,926015922441;010150001103;01015000110305802;010150001103058021;202412
1;010150;001103;058;03;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;350; ; ; ;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2713;145,926015922441;010150001103;01015000110305803;010150001103058031;202412
1;010150;001103;058;04;1;3;2;2;2;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;150; ; ; ;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2713;145,926015922441;010150001103;01015000110305804;010150001103058041;202412
1;010150;001103;058;05;1;3;2;2;2;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2713;145,926015922441;010150001103;01015000110305805;010150001103058051;202412
1;010150;001103;058;06;1;3;2;2;1;2;1;2;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;145,926015922441;010150001103;01015000110305806;010150001103058061;202412
1;010150;001103;058;07;1;1;2;2;1;1;3;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;120;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;145,926015922441;010150001103;01015000110305807;010150001103058071;202412
1;010150;004502;050;01;1;3;1;2;1;2;1;1;1;8;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;144,874313459483;010150004502;01015000450205001;010150004502050011;202412
1;010150;004502;050;02;1;1;1;1;1;2;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;5;400; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;144,874313459483;010150004502;01015000450205002;010150004502050021;202412
1;010150;004502;050;03;1;1;1;4;1;2;1;1;1;6;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;2;2; ;2; ;2; ;1;40;1;20;2; ;2; ;2712;144,874313459483;010150004502;01015000450205003;010150004502050031;202412
1;010150;004502;050;04;1;3;1;4;1;4;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;180; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;144,874313459483;010150004502;01015000450205004;010150004502050041;202412
1;010150;004502;050;05;1;1;1;4;1;1;1;1;1;6;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;1;2; ;1;60;2; ;2; ;2; ;2; ;2; ;2712;144,874313459483;010150004502;01015000450205005;010150004502050051;202412
1;010150;004502;050;06;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;350;2;2;2;1;1;2; ;1;60;2; ;2; ;2; ;2; ;2; ;2712;144,874313459483;010150004502;01015000450205006;010150004502050061;202412
1;010150;004502;050;07;1;1;1;4;1;2;1;1;1;7;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;300;2;2;1;1;1;2; ;2; ;2; ;2; ;1;80;2; ;2; ;2712;144,874313459483;010150004502;01015000450205007;010150004502050071;202412
1;010150;004702;051;01;1;1;1;4;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;420;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;36,7606392264343;010150004702;01015000470205101;010150004702051011;202412
1;010150;004702;051;02;1;1;1;4;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;36,7606392264343;010150004702;01015000470205102;010150004702051021;202412
